data,cota_obs_cm
2014-12-19,110.0
2014-12-20,110.0
2014-12-21,110.0
2014-12-22,181.0
2014-12-23,243.0
2014-12-24,245.0
2014-12-25,225.0
2014-12-26,220.0
2014-12-27,250.0
2014-12-28,290.0
2014-12-29,310.0
2014-12-30,285.0
2014-12-31,265.0
2015-01-01,245.0
2015-01-02,225.0
2015-01-03,198.0
2015-01-04,188.0
2015-01-05,178.0
2015-01-06,171.0
2015-01-07,159.0
2015-01-08,153.0
2015-01-09,151.0
2015-01-10,143.0
2015-01-11,137.0
2015-01-12,145.0
2015-01-13,166.0
2015-01-14,168.0
2015-01-15,159.0
2015-01-16,148.0
2015-01-17,138.0
2015-01-18,128.0
2015-01-19,129.0
2015-01-20,156.0
2015-01-21,149.0
2015-01-22,142.0
2015-01-23,137.0
2015-01-24,133.0
2015-01-25,131.0
2015-01-26,135.0
2015-01-27,139.0
2015-01-28,133.0
2015-01-29,125.0
2015-01-30,129.0
2015-01-31,126.0
2015-02-01,125.0
2015-02-02,125.0
2015-02-03,205.0
2015-02-04,215.0
2015-02-05,203.0
2015-02-06,193.0
2015-02-07,183.0
2015-02-08,173.0
2015-02-09,163.0
2015-02-10,148.0
2015-02-11,139.0
2015-02-12,135.0
2015-02-13,155.0
2015-02-14,180.0
2015-02-15,203.0
2015-02-16,211.0
2015-02-17,216.0
2015-02-18,225.0
2015-02-19,235.0
2015-02-20,218.0
2015-02-21,205.0
2015-02-22,197.0
2015-02-23,188.0
2015-02-24,180.0
2015-02-25,183.0
2015-02-26,186.0
2015-02-27,178.0
2015-02-28,169.0
2015-03-01,163.0
2015-03-02,157.0
2015-03-03,153.0
2015-03-04,170.0
2015-03-05,225.0
2015-03-06,235.0
2015-03-07,255.0
2015-03-08,275.0
2015-03-09,278.0
2015-03-10,262.0
2015-03-11,252.0
2015-03-12,243.0
2015-03-13,228.0
2015-03-14,218.0
2015-03-15,208.0
2015-03-16,195.0
2015-03-17,187.0
2015-03-18,178.0
