data,cota_obs_cm
2015-01-24,168.0
2015-01-25,173.0
2015-01-26,172.0
2015-01-27,168.0
2015-01-28,168.0
2015-01-29,169.0
2015-01-30,169.0
2015-01-31,168.0
2015-02-01,168.0
2015-02-02,167.0
2015-02-03,167.0
2015-02-04,181.0
2015-02-05,179.0
2015-02-06,171.0
2015-02-07,170.0
2015-02-08,170.0
2015-02-09,169.0
2015-02-10,163.0
2015-02-11,164.0
2015-02-12,164.0
2015-02-13,171.0
2015-02-14,171.0
2015-02-15,225.0
2015-02-16,189.0
2015-02-17,188.0
2015-02-18,188.0
2015-02-19,227.0
2015-02-20,194.0
2015-02-21,180.0
2015-02-22,178.0
2015-02-23,174.0
2015-02-24,174.0
2015-02-25,187.0
2015-02-26,181.0
2015-02-27,191.0
2015-02-28,178.0
2015-03-01,172.0
2015-03-02,172.0
2015-03-03,170.0
2015-03-04,172.0
2015-03-05,171.0
2015-03-06,171.0
2015-03-07,170.0
2015-03-08,175.0
2015-03-09,185.0
2015-03-10,186.0
2015-03-11,178.0
2015-03-12,175.0
2015-03-13,174.0
2015-03-14,174.0
2015-03-15,173.0
2015-03-16,172.0
2015-03-17,171.0
2015-03-18,171.0
2015-03-19,171.0
2015-03-20,170.0
2015-03-21,170.0
2015-03-22,172.0
2015-03-23,170.0
2015-03-24,170.0
2015-03-25,169.0
2015-03-26,169.0
2015-03-27,169.0
2015-03-28,171.0
2015-03-29,169.0
2015-03-30,181.0
2015-03-31,176.0
2015-04-01,169.0
2015-04-02,169.0
2015-04-03,169.0
2015-04-04,169.0
2015-04-05,167.0
2015-04-06,167.0
2015-04-07,167.0
2015-04-08,168.0
2015-04-09,168.0
2015-04-10,167.0
2015-04-11,167.0
2015-04-12,167.0
2015-04-13,167.0
2015-04-14,166.0
2015-04-15,166.0
2015-04-16,166.0
2015-04-17,166.0
2015-04-18,166.0
2015-04-19,166.0
2015-04-20,167.0
2015-04-21,180.0
2015-04-22,214.0
2015-04-23,176.0
2015-04-24,172.0
2015-04-25,170.0
2015-04-26,169.0
2015-04-27,168.0
2015-04-28,168.0
2015-04-29,168.0
2015-04-30,168.0
2015-05-01,168.0
2015-05-02,168.0
2015-05-03,168.0
2015-05-04,199.0
2015-05-05,170.0
2015-05-06,169.0
2015-05-07,168.0
2015-05-08,169.0
2015-05-09,168.0
2015-05-10,194.0
2015-05-11,193.0
2015-05-12,175.0
2015-05-13,175.0
2015-05-14,172.0
2015-05-15,170.0
2015-05-16,169.0
2015-05-17,169.0
2015-05-18,168.0
2015-05-19,169.0
2015-05-20,168.0
2015-05-21,168.0
2015-05-22,168.0
2015-05-23,168.0
2015-05-24,168.0
2015-05-25,181.0
2015-05-26,201.0
2015-05-27,174.0
2015-05-28,172.0
2015-05-29,171.0
2015-05-30,171.0
2015-05-31,171.0
2015-06-01,170.0
2015-06-02,169.0
2015-06-03,169.0
2015-06-04,169.0
2015-06-05,169.0
2015-06-06,168.0
2015-06-07,168.0
2015-06-08,168.0
2015-06-09,168.0
2015-06-10,168.0
2015-06-11,168.0
2015-06-12,169.0
2015-06-13,174.0
2015-06-14,171.0
2015-06-15,187.0
2015-06-16,176.0
2015-06-17,170.0
2015-06-18,171.0
2015-06-19,171.0
2015-06-20,169.0
2015-06-21,169.0
2015-06-22,168.0
2015-06-23,168.0
2015-06-24,168.0
2015-06-25,168.0
2015-06-26,167.0
2015-06-27,167.0
2015-06-28,167.0
2015-06-29,167.0
2015-06-30,167.0
2015-07-01,176.0
2015-07-02,175.0
2015-07-03,185.0
2015-07-04,170.0
2015-07-05,168.0
2015-07-06,168.0
2015-07-07,168.0
2015-07-08,172.0
2015-07-09,175.0
2015-07-10,168.0
2015-07-11,201.0
2015-07-12,190.0
2015-07-13,246.0
2015-07-14,199.0
2015-07-15,184.0
2015-07-16,180.0
2015-07-17,279.0
2015-07-18,206.0
2015-07-19,181.0
2015-07-20,183.0
2015-07-21,182.0
2015-07-22,182.0
2015-07-23,177.0
2015-07-24,183.0
2015-07-25,220.0
2015-07-26,192.0
2015-07-27,183.0
2015-07-28,181.0
2015-07-29,177.0
2015-07-30,174.0
2015-07-31,174.0
2015-08-01,170.97619047619048
2015-08-02,170.03125
2015-08-03,169.125
2015-08-04,168.52083333333334
2015-08-05,168.0
2015-08-06,167.1875
2015-08-07,167.0
2015-08-08,166.13541666666666
2015-08-09,166.01041666666666
2015-08-10,166.0
2015-08-11,165.07291666666666
2015-08-12,164.75257731958763
2015-08-13,164.0
2015-08-14,164.0
2015-08-15,164.0
2015-08-16,163.42708333333334
2015-08-17,163.01041666666666
2015-08-18,163.0
2015-08-19,163.45833333333334
2015-08-20,163.0
2015-08-21,162.75
2015-08-22,162.0
2015-08-23,162.09375
2015-08-24,165.44791666666666
2015-08-25,163.0625
2015-08-26,163.0
2015-08-27,170.44329896907217
2015-08-28,165.98958333333334
2015-08-29,162.51041666666666
2015-08-30,162.0
2015-08-31,162.0
2015-09-01,161.21052631578948
2015-09-02,161.0
2015-09-03,161.01041666666666
2015-09-04,164.55208333333334
2015-09-05,162.77083333333334
2015-09-06,161.11458333333334
2015-09-07,161.55208333333334
2015-09-08,250.16666666666666
2015-09-09,223.64583333333334
2015-09-10,182.88541666666666
2015-09-11,221.75257731958763
2015-09-12,187.55208333333334
2015-09-13,176.72916666666666
2015-09-14,171.13541666666666
2015-09-15,167.94791666666666
2015-09-16,166.53125
2015-09-17,164.77083333333334
2015-09-18,163.30208333333334
2015-09-19,162.05208333333334
2015-09-20,161.33333333333334
2015-09-21,160.71875
2015-09-22,160.72916666666666
2015-09-23,160.0
2015-09-24,159.95833333333334
2015-09-25,162.6875
2015-09-26,169.72164948453607
2015-09-27,165.35416666666666
2015-09-28,172.48888888888888
2015-09-29,162.8111111111111
2015-09-30,170.44791666666666
2015-10-01,190.32631578947368
2015-10-02,167.84375
2015-10-03,168.03125
2015-10-04,165.51041666666666
2015-10-05,162.5212765957447
2015-10-06,161.43617021276594
2015-10-07,160.26041666666666
2015-10-08,159.69791666666666
2015-10-09,179.02083333333334
2015-10-10,206.13541666666666
2015-10-11,195.97938144329896
2015-10-12,289.65625
2015-10-13,238.47826086956522
2015-10-14,200.26041666666666
2015-10-15,185.57291666666666
2015-10-16,177.84375
2015-10-17,173.65625
2015-10-18,174.2173913043478
2015-10-19,171.41666666666666
2015-10-20,169.44791666666666
2015-10-21,168.29166666666666
2015-10-22,185.15625
2015-10-23,201.34375
2015-10-24,178.15217391304347
2015-10-25,172.91489361702128
2015-10-26,172.33333333333334
2015-10-27,179.1263157894737
2015-10-28,190.4875
2015-10-29,186.1888888888889
2015-10-30,183.62765957446808
2015-10-31,186.79166666666666
2015-11-01,193.16666666666666
2015-11-02,189.125
2015-11-03,187.375
2015-11-04,194.66666666666666
2015-11-05,222.76041666666666
2015-11-06,219.97727272727272
2015-11-07,203.27083333333334
2015-11-08,194.38541666666666
2015-11-09,193.3068181818182
2015-11-10,232.16494845360825
2015-11-11,224.94791666666666
2015-11-12,204.82978723404256
2015-11-13,195.11627906976744
2015-11-14,196.5625
2015-11-15,196.80851063829786
2015-11-16,189.48936170212767
2015-11-17,189.25
2015-11-18,194.625
2015-11-19,187.51041666666666
2015-11-20,213.72916666666666
2015-11-21,196.11458333333334
2015-11-22,189.15625
2015-11-23,188.80208333333334
2015-11-24,194.44791666666666
2015-11-25,192.85263157894738
2015-11-26,188.13829787234042
